Date,Price
2023-06-01,305.0
2023-06-02,275.0
2023-06-03,275.0
2023-06-04,275.0
2023-06-05,325.0
2023-06-06,275.0
2023-06-07,215.0
2023-06-08,290.0
2023-06-09,305.0
2023-06-10,305.0
2023-06-11,305.0
2023-06-12,375.0
2023-06-13,315.0
2023-06-14,375.0
2023-06-15,340.0
2023-06-16,380.0
2023-06-17,380.0
2023-06-18,380.0
2023-06-19,375.0
2023-06-20,375.0
2023-06-21,375.0
2023-06-22,375.0
2023-06-23,375.0
2023-06-24,375.0
2023-06-25,375.0
2023-06-26,445.0
2023-06-27,390.0
2023-06-28,400.0
2023-06-29,400.0
2023-06-30,400.0
2023-07-01,400.0
2023-07-02,400.0
2023-07-03,400.0
2023-07-04,305.0
2023-07-05,285.0
2023-07-06,275.0
2023-07-07,295.0
2023-07-08,295.0
2023-07-09,295.0
2023-07-10,375.0
2023-07-11,375.0
2023-07-12,350.0
2023-07-13,365.0
2023-07-14,365.0
2023-07-15,365.0
2023-07-16,365.0
2023-07-17,375.0
2023-07-18,315.0
2023-07-19,325.0
2023-07-20,275.0
2023-07-21,350.0
2023-07-22,350.0
2023-07-23,350.0
2023-07-24,290.0
2023-07-25,325.0
2023-07-26,340.0
2023-07-27,335.0
2023-07-28,345.0
2023-07-29,345.0
2023-07-30,345.0
2023-07-31,340.0
2023-08-01,340.0
2023-08-02,315.0
2023-08-03,325.0
2023-08-04,365.0
2023-08-05,365.0
2023-08-06,365.0
2023-08-07,295.0
2023-08-08,315.0
2023-08-09,315.0
2023-08-10,340.0
2023-08-11,305.0
2023-08-12,305.0
2023-08-13,305.0
2023-08-14,385.0
2023-08-15,375.0
2023-08-16,375.0
2023-08-17,325.0
2023-08-18,375.0
2023-08-19,375.0
2023-08-20,375.0
2023-08-21,375.0
2023-08-22,310.0
2023-08-23,375.0
2023-08-24,350.0
2023-08-25,350.0
2023-08-26,350.0
2023-08-27,350.0
2023-08-28,290.0
2023-08-29,325.0
2023-08-30,325.0
2023-08-31,275.0
2023-09-01,275.0
2023-09-02,275.0
2023-09-03,275.0
2023-09-04,225.0
2023-09-05,275.0
2023-09-06,275.0
2023-09-07,300.0
2023-09-08,275.0
2023-09-09,275.0
2023-09-10,275.0
2023-09-11,325.0
2023-09-12,290.0
2023-09-13,375.0
2023-09-14,375.0
2023-09-15,340.0
2023-09-16,340.0
2023-09-17,340.0
2023-09-18,325.0
2023-09-19,340.0
2023-09-20,210.0
2023-09-21,325.0
2023-09-22,325.0
2023-09-23,325.0
2023-09-24,325.0
2023-09-25,245.0
2023-09-26,255.0
2023-09-27,210.0
2023-09-28,210.0
2023-09-29,210.0
2023-09-30,210.0
2023-10-01,210.0
2023-10-02,300.0
2023-10-03,275.0
2023-10-04,375.0
2023-10-05,315.0
2023-10-06,325.0
2023-10-07,325.0
2023-10-08,325.0
2023-10-09,335.0
2023-10-10,315.0
2023-10-11,310.0
2023-10-12,355.0
2023-10-13,375.0
2023-10-14,375.0
2023-10-15,375.0
2023-10-16,280.0
2023-10-17,325.0
2023-10-18,335.0
2023-10-19,465.0
2023-10-20,325.0
2023-10-21,325.0
2023-10-22,325.0
2023-10-23,525.0
2023-10-24,465.0
2023-10-25,490.0
2023-10-26,550.0
2023-10-27,525.0
2023-10-28,525.0
2023-10-29,525.0
2023-10-30,455.0
2023-10-31,275.0
2023-11-01,415.0
2023-11-02,310.0
2023-11-03,295.0
2023-11-04,295.0
2023-11-05,295.0
2023-11-06,255.0
2023-11-07,265.0
2023-11-08,290.0
2023-11-09,290.0
2023-11-10,290.0
2023-11-11,290.0
2023-11-12,290.0
2023-11-13,345.0
2023-11-14,345.0
2023-11-15,325.0
2023-11-16,325.0
2023-11-17,340.0
2023-11-18,340.0
2023-11-19,340.0
2023-11-20,390.0
2023-11-21,415.0
2023-11-22,425.0
2023-11-23,475.0
2023-11-24,490.0
2023-11-25,490.0
2023-11-26,490.0
2023-11-27,495.0
2023-11-28,450.0
2023-11-29,495.0
2023-11-30,475.0
2023-12-01,475.0
2023-12-02,475.0
2023-12-03,475.0
2023-12-04,475.0
2023-12-05,375.0
2023-12-06,395.0
2023-12-07,335.0
2023-12-08,325.0
2023-12-09,325.0
2023-12-10,325.0
2023-12-11,285.0
2023-12-12,310.0
2023-12-13,295.0
2023-12-14,325.0
2023-12-15,345.0
2023-12-16,345.0
2023-12-17,345.0
2023-12-18,325.0
2023-12-19,275.0
2023-12-20,375.0
2023-12-21,375.0
2023-12-22,410.0
2023-12-23,410.0
2023-12-24,410.0
2023-12-25,410.0
2023-12-26,410.0
2023-12-27,515.0
2023-12-28,550.0
2023-12-29,470.0
2023-12-30,470.0
2023-12-31,470.0
2024-01-01,325.0
2024-01-02,475.0
2024-01-03,475.0
2024-01-04,275.0
2024-01-05,375.0
2024-01-06,375.0
2024-01-07,375.0
2024-01-08,425.0
2024-01-09,425.0
2024-01-10,445.0
2024-01-11,495.0
2024-01-12,510.0
2024-01-13,510.0
2024-01-14,510.0
2024-01-15,510.0
2024-01-16,510.0
2024-01-17,510.0
2024-01-18,725.0
2024-01-19,475.0
2024-01-20,475.0
2024-01-21,475.0
2024-01-22,525.0
2024-01-23,725.0
2024-01-24,725.0
2024-01-25,725.0
2024-01-26,725.0
2024-01-27,725.0
2024-01-28,725.0
2024-01-29,690.0
2024-01-30,675.0
2024-01-31,425.0
2024-02-01,465.0
2024-02-02,600.0
2024-02-03,600.0
2024-02-04,600.0
2024-02-05,625.0
2024-02-06,625.0
2024-02-07,425.0
2024-02-08,550.0
2024-02-09,575.0
2024-02-10,575.0
2024-02-11,575.0
2024-02-12,555.0
2024-02-13,575.0
2024-02-14,525.0
2024-02-15,575.0
2024-02-16,475.0
2024-02-17,475.0
2024-02-18,475.0
2024-02-19,575.0
2024-02-20,525.0
2024-02-21,545.0
2024-02-22,400.0
2024-02-23,400.0
2024-02-24,400.0
2024-02-25,400.0
2024-02-26,375.0
2024-02-27,435.0
2024-02-28,410.0
2024-02-29,375.0
2024-03-01,440.0
2024-03-02,440.0
2024-03-03,440.0
2024-03-04,390.0
2024-03-05,375.0
2024-03-06,315.0
2024-03-07,300.0
2024-03-08,300.0
2024-03-09,300.0
2024-03-10,300.0
